Price Limit,Side,Volume
278,BUY,140614
151,BUY,21535
264,BUY,106460
343,BUY,199988
363,BUY,211769
217,BUY,63004
338,BUY,191469
353,BUY,211910
311,BUY,172041
384,BUY,219906
50,BUY,226
441,BUY,157336
228,BUY,77592
413,BUY,191038
52,BUY,721
435,BUY,183166
145,BUY,21071
266,BUY,114962
147,BUY,17677
276,BUY,140674
280,BUY,127560
231,BUY,79543
150,BUY,16972
193,BUY,40416
378,BUY,210936
410,BUY,213510
126,BUY,10000
453,BUY,153232
379,BUY,201649
432,BUY,183598
8,BUY,132
407,BUY,209321
303,BUY,155453
129,BUY,11549
314,BUY,171958
257,BUY,92007
244,BUY,87973
42,BUY,634
433,BUY,168357
452,BUY,167723
225,BUY,57351
282,BUY,140137
289,BUY,151974
340,BUY,203797
211,BUY,60525
377,BUY,215555
202,BUY,51751
205,BUY,49993
326,BUY,189108
398,BUY,197143
418,BUY,187413
76,BUY,1828
459,BUY,153580
323,BUY,170720
346,BUY,191907
333,BUY,187704
74,BUY,1964
465,BUY,141793
48,BUY,1020
447,BUY,160170
199,BUY,35397
376,BUY,223641
352,BUY,205165
239,BUY,83186
164,BUY,23931
34,BUY,1
425,BUY,189603
54,BUY,966
445,BUY,151739
344,BUY,213430
64,BUY,1305
463,BUY,143359
464,BUY,129739
351,BUY,202715
14,BUY,68
405,BUY,180984
250,BUY,98064
267,BUY,125222
241,BUY,91694
362,BUY,206564
271,BUY,130789
222,BUY,61977
408,BUY,200748
365,BUY,205104
172,BUY,28316
349,BUY,199972
386,BUY,216624
179,BUY,28223
308,BUY,155889
66,BUY,2043
457,BUY,144244
149,BUY,14927
270,BUY,114194
422,BUY,185537
292,BUY,169187
163,BUY,18883
6,BUY,1
397,BUY,198546
135,BUY,8092
312,BUY,175180
448,BUY,156352
440,BUY,171439
251,BUY,98072
380,BUY,224092
325,BUY,175851
133,BUY,9461
318,BUY,181779
254,BUY,115112
181,BUY,31408
302,BUY,156485
273,BUY,116058
223,BUY,67113
336,BUY,184251
404,BUY,198584
341,BUY,204164
153,BUY,16553
274,BUY,114785
454,BUY,141144
295,BUY,135408
293,BUY,153090
139,BUY,10738
268,BUY,116054
242,BUY,80189
420,BUY,174294
469,BUY,67544
78,BUY,1579
226,BUY,70866
161,BUY,20467
252,BUY,99914
214,BUY,54097
458,BUY,154854
305,BUY,179013
122,BUY,6223
449,BUY,153680
317,BUY,171364
462,BUY,139237
194,BUY,43851
208,BUY,56661
291,BUY,152796
99,BUY,4724
283,BUY,132634
230,BUY,65915
132,BUY,16941
136,BUY,17874
396,BUY,216152
120,BUY,6648
455,BUY,146713
131,BUY,11953
260,BUY,109980
169,BUY,30409
290,BUY,156854
238,BUY,72128
307,BUY,153390
287,BUY,142818
183,BUY,31770
296,BUY,152745
46,BUY,696
437,BUY,167842
212,BUY,55578
162,BUY,23038
168,BUY,25981
281,BUY,140073
438,BUY,172514
215,BUY,60102
328,BUY,195998
456,BUY,155786
123,BUY,11596
170,BUY,24310
95,BUY,5128
216,BUY,54270
167,BUY,23222
460,BUY,147958
204,BUY,45447
70,BUY,1800
461,BUY,144745
188,BUY,45283
234,BUY,82530
88,BUY,4648
218,BUY,67318
12,BUY,36
395,BUY,217831
210,BUY,54372
240,BUY,85611
466,BUY,139690
180,BUY,33802
114,BUY,8541
160,BUY,17685
124,BUY,11893
176,BUY,25255
125,BUY,7421
158,BUY,19976
127,BUY,8990
444,BUY,174034
479,BUY,892
80,BUY,1879
154,BUY,20034
96,BUY,2890
178,BUY,36321
152,BUY,13445
192,BUY,42761
146,BUY,14017
200,BUY,55144
174,BUY,21800
467,BUY,158117
84,BUY,3603
134,BUY,13341
196,BUY,44043
87,BUY,1535
166,BUY,22623
94,BUY,6451
138,BUY,14470
468,BUY,127245
477,BUY,208
86,BUY,3288
265,BUY,108137
156,BUY,20662
142,BUY,14846
90,BUY,4419
148,BUY,14981
63,BUY,1480
103,BUY,4091
69,BUY,1003
186,BUY,39128
117,BUY,6972
81,BUY,1581
115,BUY,9751
83,BUY,5592
67,BUY,1290
128,BUY,10571
100,BUY,3888
57,BUY,1129
119,BUY,8215
71,BUY,913
91,BUY,2982
98,BUY,6361
109,BUY,4977
61,BUY,1725
111,BUY,6737
101,BUY,4188
121,BUY,8133
102,BUY,4514
107,BUY,6699
116,BUY,8799
105,BUY,8173
112,BUY,6680
97,BUY,5157
89,BUY,4022
24,BUY,686
59,BUY,1798
130,BUY,11094
471,BUY,2964
72,BUY,2961
106,BUY,4821
140,BUY,16322
85,BUY,5415
93,BUY,2209
491,BUY,526
108,BUY,7073
110,BUY,6295
1,BUY,5409
118,BUY,9241
65,BUY,3287
77,BUY,5069
35,BUY,357
55,BUY,1621
113,BUY,4523
49,BUY,924
73,BUY,2691
473,BUY,3003
82,BUY,1972
43,BUY,107
53,BUY,2105
51,BUY,1235
79,BUY,1836
47,BUY,1317
9,BUY,60
475,BUY,1709
92,BUY,5073
27,BUY,217
75,BUY,2557
19,BUY,1
25,BUY,1433
23,BUY,1245
31,BUY,630
41,BUY,790
45,BUY,527
37,BUY,580
21,BUY,1553
11,BUY,274
39,BUY,308
33,BUY,600
15,BUY,1
29,BUY,165
3,BUY,248
7,BUY,1
5,BUY,35
474,BUY,2803
472,BUY,1229
470,BUY,1256
484,BUY,568
488,BUY,63
485,BUY,386
486,BUY,488
502,BUY,1
999,SELL,56
536,SELL,139382
664,SELL,186703
650,SELL,212248
714,SELL,133086
1009,SELL,289
618,SELL,213873
682,SELL,189886
734,SELL,119516
670,SELL,191528
695,SELL,163690
808,SELL,39685
666,SELL,213822
1005,SELL,824
614,SELL,216405
989,SELL,452
598,SELL,204157
772,SELL,73227
643,SELL,212930
597,SELL,202786
607,SELL,212257
637,SELL,213406
599,SELL,203790
776,SELL,61503
663,SELL,196956
636,SELL,198776
722,SELL,121777
781,SELL,57911
646,SELL,208568
777,SELL,68988
694,SELL,165336
884,SELL,5842
755,SELL,81145
555,SELL,169640
547,SELL,155543
677,SELL,183986
659,SELL,201869
788,SELL,50622
995,SELL,626
612,SELL,199813
591,SELL,206735
737,SELL,101841
794,SELL,41512
673,SELL,184138
780,SELL,56683
651,SELL,192330
615,SELL,208038
818,SELL,33857
697,SELL,160421
744,SELL,106963
874,SELL,9709
753,SELL,83615
828,SELL,26523
699,SELL,168171
706,SELL,143182
539,SELL,157855
652,SELL,196587
1001,SELL,1
610,SELL,201940
716,SELL,134995
947,SELL,1346
564,SELL,174037
628,SELL,221127
613,SELL,241294
840,SELL,20259
727,SELL,123628
967,SELL,476
632,SELL,196484
824,SELL,24516
647,SELL,192566
977,SELL,1
586,SELL,189266
983,SELL,292
584,SELL,189244
827,SELL,28184
602,SELL,203097
708,SELL,141308
589,SELL,203034
696,SELL,165518
690,SELL,176163
844,SELL,20869
715,SELL,138304
864,SELL,11724
751,SELL,103491
969,SELL,1121
578,SELL,176936
587,SELL,193516
658,SELL,192119
796,SELL,47376
667,SELL,187182
852,SELL,13696
723,SELL,126199
834,SELL,18475
713,SELL,149167
846,SELL,20519
725,SELL,119153
931,SELL,1747
548,SELL,168429
640,SELL,206639
957,SELL,1120
566,SELL,176942
571,SELL,169604
583,SELL,187569
764,SELL,83226
761,SELL,80899
882,SELL,7026
710,SELL,136055
633,SELL,205865
720,SELL,148130
768,SELL,79416
655,SELL,183484
672,SELL,184380
622,SELL,197260
654,SELL,181365
979,SELL,354
596,SELL,222917
965,SELL,152
638,SELL,208578
973,SELL,550
582,SELL,184042
573,SELL,179996
1023,SELL,578
624,SELL,234118
1017,SELL,48
626,SELL,214523
649,SELL,201728
770,SELL,73466
802,SELL,43946
681,SELL,168924
741,SELL,114020
798,SELL,47278
826,SELL,36719
641,SELL,213919
642,SELL,204719
609,SELL,226605
644,SELL,207521
894,SELL,4919
709,SELL,146416
674,SELL,193208
579,SELL,193836
619,SELL,202720
601,SELL,208460
617,SELL,194409
804,SELL,48490
675,SELL,179366
868,SELL,9545
739,SELL,113762
581,SELL,187545
756,SELL,85608
561,SELL,178101
621,SELL,208819
606,SELL,222093
939,SELL,2096
556,SELL,155146
879,SELL,6890
662,SELL,190898
789,SELL,52703
949,SELL,1093
558,SELL,167584
700,SELL,149302
629,SELL,204965
876,SELL,9075
747,SELL,101763
553,SELL,153322
627,SELL,194593
785,SELL,55674
545,SELL,158217
830,SELL,31498
645,SELL,192787
676,SELL,174128
712,SELL,145167
686,SELL,175006
774,SELL,66772
653,SELL,201605
668,SELL,202500
660,SELL,200645
648,SELL,213317
567,SELL,178224
728,SELL,133933
746,SELL,92736
799,SELL,46803
816,SELL,27958
703,SELL,149022
656,SELL,192115
595,SELL,205963
678,SELL,194422
955,SELL,2230
572,SELL,184513
888,SELL,4573
711,SELL,144867
778,SELL,57092
657,SELL,204562
779,SELL,62146
565,SELL,165890
838,SELL,21550
717,SELL,142512
854,SELL,16587
733,SELL,124319
923,SELL,2863
540,SELL,155892
814,SELL,24778
693,SELL,172158
730,SELL,116330
997,SELL,1
542,SELL,152680
784,SELL,66807
671,SELL,190606
611,SELL,221969
991,SELL,476
592,SELL,188781
953,SELL,823
562,SELL,168947
959,SELL,418
560,SELL,181048
985,SELL,212
594,SELL,193098
635,SELL,210021
975,SELL,142
576,SELL,195960
878,SELL,9865
757,SELL,86607
831,SELL,24542
537,SELL,138204
943,SELL,524
544,SELL,151938
782,SELL,65364
661,SELL,192697
630,SELL,197006
790,SELL,57624
669,SELL,186595
1003,SELL,1
620,SELL,208766
538,SELL,133666
773,SELL,68886
698,SELL,154448
736,SELL,116491
585,SELL,192209
639,SELL,202044
557,SELL,168858
600,SELL,199370
822,SELL,33688
701,SELL,163382
811,SELL,34529
987,SELL,376
604,SELL,220819
971,SELL,858
588,SELL,211218
683,SELL,177703
812,SELL,37157
605,SELL,208563
937,SELL,1249
546,SELL,166921
963,SELL,999
580,SELL,194847
1015,SELL,1
616,SELL,224812
740,SELL,110955
559,SELL,175810
631,SELL,192180
758,SELL,88143
961,SELL,2
634,SELL,210669
750,SELL,90802
687,SELL,160077
800,SELL,50582
837,SELL,19986
803,SELL,45939
543,SELL,152580
866,SELL,11516
745,SELL,101185
941,SELL,3056
550,SELL,155579
563,SELL,177824
820,SELL,32732
691,SELL,165183
832,SELL,28563
719,SELL,131115
593,SELL,176026
726,SELL,122313
865,SELL,13825
870,SELL,8571
749,SELL,97419
945,SELL,903
554,SELL,171708
836,SELL,18414
707,SELL,143139
769,SELL,72789
688,SELL,169130
775,SELL,57056
692,SELL,163131
890,SELL,4789
705,SELL,152411
742,SELL,104379
680,SELL,168085
752,SELL,85272
860,SELL,10218
731,SELL,122303
795,SELL,51821
738,SELL,112383
577,SELL,168286
684,SELL,178636
551,SELL,166324
535,SELL,152682
829,SELL,20864
685,SELL,176436
806,SELL,41408
903,SELL,4583
568,SELL,174005
897,SELL,3373
570,SELL,177211
760,SELL,85401
704,SELL,158238
541,SELL,153958
805,SELL,32952
623,SELL,204053
901,SELL,7780
574,SELL,195489
810,SELL,37287
689,SELL,158836
807,SELL,42618
843,SELL,15958
625,SELL,211506
569,SELL,162176
603,SELL,196535
702,SELL,141841
892,SELL,7231
763,SELL,84641
732,SELL,114213
850,SELL,19520
729,SELL,125091
883,SELL,8366
925,SELL,1306
534,SELL,135437
821,SELL,36193
743,SELL,110161
792,SELL,50921
848,SELL,17191
735,SELL,112287
771,SELL,79257
842,SELL,17948
721,SELL,141597
748,SELL,98175
951,SELL,556
552,SELL,168403
575,SELL,186889
608,SELL,193525
849,SELL,16358
873,SELL,9809
718,SELL,131554
724,SELL,126920
549,SELL,166703
665,SELL,192806
786,SELL,64728
880,SELL,10445
767,SELL,72770
679,SELL,168141
813,SELL,35606
766,SELL,82600
981,SELL,1
590,SELL,207318
791,SELL,54385
841,SELL,22485
801,SELL,40079
797,SELL,38573
861,SELL,11550
754,SELL,84595
833,SELL,22873
825,SELL,30993
793,SELL,52724
872,SELL,11172
759,SELL,89697
853,SELL,14334
889,SELL,7980
787,SELL,55357
762,SELL,90423
815,SELL,36710
856,SELL,9580
809,SELL,36016
886,SELL,6743
765,SELL,81205
847,SELL,18898
863,SELL,12717
855,SELL,13741
922,SELL,2795
783,SELL,55772
839,SELL,19212
859,SELL,11466
898,SELL,5085
819,SELL,25435
858,SELL,8872
817,SELL,36856
835,SELL,24015
845,SELL,13409
851,SELL,17884
891,SELL,8238
1025,SELL,270
908,SELL,2698
881,SELL,8525
893,SELL,5425
899,SELL,6625
938,SELL,1183
857,SELL,16376
952,SELL,879
862,SELL,14910
902,SELL,4139
895,SELL,10469
867,SELL,9654
875,SELL,7497
887,SELL,7529
885,SELL,7344
907,SELL,3159
928,SELL,444
918,SELL,3251
877,SELL,9090
933,SELL,925
940,SELL,1494
869,SELL,9238
532,SELL,127602
915,SELL,3126
910,SELL,3962
530,SELL,39464
921,SELL,2821
904,SELL,4842
932,SELL,1719
823,SELL,30218
896,SELL,4431
912,SELL,1475
871,SELL,8386
900,SELL,4850
948,SELL,1692
906,SELL,1761
909,SELL,3992
533,SELL,136813
531,SELL,126737
934,SELL,2378
936,SELL,1106
926,SELL,1677
905,SELL,5850
920,SELL,5084
970,SELL,307
992,SELL,521
917,SELL,2204
956,SELL,2198
916,SELL,4298
946,SELL,1808
944,SELL,1078
914,SELL,4594
930,SELL,1971
929,SELL,2142
935,SELL,557
927,SELL,863
962,SELL,163
919,SELL,3034
942,SELL,888
911,SELL,4562
972,SELL,710
978,SELL,392
924,SELL,2614
1041,SELL,198
950,SELL,1042
913,SELL,2946
968,SELL,1442
960,SELL,571
974,SELL,276
982,SELL,354
1008,SELL,41
964,SELL,1723
958,SELL,3
1004,SELL,571
976,SELL,1141
954,SELL,862
986,SELL,555
1047,SELL,1
1006,SELL,1
1010,SELL,1
994,SELL,132
984,SELL,539
1032,SELL,1
998,SELL,480
980,SELL,1
1018,SELL,1
996,SELL,44
1028,SELL,1
529,SELL,793
1046,SELL,375
521,SELL,213
512,SELL,333
